UniprotID,GeneName,TotalPhosphosites,TargetPhosphositeCount,AutophosphorylationCount,AutophosphorylationSites,Autophosphorylation
P30291,WEE1,13,80,0,[],No
Q9BUB5,MKNK1,9,14,0,[],No
Q9HBH9,MKNK2,7,41,0,[],No
P07333,CSF1R,8,14,0,[],No
P25098,GRK2,11,118,0,[],No
P34947,GRK5,4,58,0,[],No
P08069,IGF1R,11,97,0,[],No
P48729,CSNK1A1,4,265,0,[],No
P07948,LYN,5,237,0,[],No
Q15118,PDK1,10,136,0,[],No
Q15119,PDK2,0,15,0,[],No
Q15120,PDK3,0,9,0,[],No
Q16654,PDK4,0,7,0,[],No
P08581,MET,22,42,0,[],No
Q02156,PRKCE,9,239,0,[],No
P08631,HCK,7,102,0,[],No
Q13464,ROCK1,6,100,0,[],No
Q13976,PRKG1,8,165,0,[],No
P09769,FGR,5,60,0,[],No
P23443,RPS6KB1,23,132,0,[],No
P11362,FGFR1,62,65,0,[],No
P05771,PRKCB,10,509,0,[],No
Q05397,PTK2,22,68,0,[],No
P48730,CSNK1D,10,204,0,[],No
Q00535,CDK5,5,459,0,[],No
Q13164,MAPK7,16,117,0,[],No
O43293,DAPK3,10,26,0,[],No
O43781,DYRK3,0,26,0,[],No
P51812,RPS6KA3,16,425,0,[],No
Q15349,RPS6KA2,15,52,0,[],No
Q16566,CAMK4,11,47,0,[],No
Q13535,ATR,9,207,0,[],No
O15264,MAPK13,2,48,0,[],No
P29597,TYK2,3,21,0,[],No
Q15418,RPS6KA1,16,139,0,[],No
P17948,FLT1,9,8,0,[],No
Q00526,CDK3,5,84,0,[],No
P43405,SYK,10,140,0,[],No
P45985,MAP2K4,3,31,0,[],No
O15111,CHUK,6,113,0,[],No
P22455,FGFR4,4,17,0,[],No
P07947,YES1,5,68,0,[],No
P42345,MTOR,15,182,0,[],No
P53667,LIMK1,9,6,0,[],No
P53671,LIMK2,6,9,0,[],No
Q15569,TESK1,2,3,0,[],No
Q96S53,TESK2,3,12,0,[],No
Q13177,PAK2,16,68,0,[],No
P50750,CDK9,17,165,0,[],No
P49674,CSNK1E,11,203,0,[],No
Q02750,MAP2K1,14,73,0,[],No
P11802,CDK4,2,323,0,[],No
P35916,FLT4,7,14,0,[],No
P43403,ZAP70,18,66,0,[],No
P23458,JAK1,4,52,0,[],No
P11309,PIM1,6,112,0,[],No
Q8TDC3,BRSK1,4,11,0,[],No
Q9H4B4,PLK3,0,57,0,[],No
P32298,GRK4,9,32,0,[],No
Q13418,ILK,4,29,0,[],No
Q05513,PRKCZ,4,210,0,[],No
P57059,SIK1,4,15,0,[],No
Q96QT4,TRPM7,47,10,0,[],No
P35968,KDR,12,15,0,[],No
P37173,TGFBR2,14,39,0,[],No
Q99683,MAP3K5,11,36,0,[],No
Q9Y463,DYRK1B,4,36,0,[],No
Q9UM73,ALK,16,21,0,[],No
P51617,IRAK1,8,18,0,[],No
Q06187,BTK,9,54,0,[],No
O14733,MAP2K7,8,12,0,[],No
Q13882,PTK6,6,40,0,[],No
Q13627,DYRK1A,11,81,0,[],No
Q2M2I8,AAK1,11,5,0,[],No
O94804,STK10,12,5,0,[],No
P04049,RAF1,27,51,0,[],No
P41279,MAP3K8,4,44,0,[],No
O75582,RPS6KA5,13,84,0,[],No
Q14164,IKBKE,5,96,0,[],No
Q9UHD2,TBK1,6,146,0,[],No
Q00534,CDK6,4,196,0,[],No
P42681,TXK,2,4,0,[],No
Q92918,MAP4K1,11,6,0,[],No
Q9H422,HIPK3,2,3,0,[],No
P53778,MAPK12,4,81,0,[],No
Q14289,PTK2B,14,56,0,[],No
O00238,BMPR1B,0,28,0,[],No
P36897,TGFBR1,10,18,0,[],No
Q15831,STK11,14,71,0,[],No
P52564,MAP2K6,4,22,0,[],No
P07332,FES,5,12,0,[],No
P17612,PRKACA,9,1080,0,[],No
P29320,EPHA3,3,11,0,[],No
P54764,EPHA4,4,1,0,[],No
P29322,EPHA8,2,0,0,[],No
P22607,FGFR3,20,19,0,[],No
P10721,KIT,15,18,0,[],No
Q04912,MST1R,7,10,0,[],No
Q08881,ITK,3,32,0,[],No
Q02763,TEK,6,2,0,[],No
P54753,EPHB3,1,2,0,[],No
P49759,CLK1,4,48,0,[],No
Q9NWZ3,IRAK4,12,24,0,[],No
P52333,JAK3,7,22,0,[],No
Q12866,MERTK,3,6,0,[],No
Q16659,MAPK6,5,55,0,[],No
Q9UKI8,TLK1,7,6,0,[],No
Q99558,MAP3K14,4,32,0,[],No
P19525,EIF2AK2,16,24,0,[],No
P51955,NEK2,12,39,0,[],No
P24723,PRKCH,5,22,0,[],No
Q9HC98,NEK6,4,43,0,[],No
Q9BWU1,CDK19,0,68,0,[],No
P43250,GRK6,2,46,0,[],No
Q9BQI3,EIF2AK1,2,3,0,[],No
Q9NZJ5,EIF2AK3,5,8,0,[],No
Q14012,CAMK1,1,41,0,[],No
Q15835,GRK1,5,41,0,[],No
P29323,EPHB2,8,12,0,[],No
P51451,BLK,3,36,0,[],No
P16234,PDGFRA,9,20,0,[],No
Q13523,PRP4K,13,3,0,[],No
Q5S007,LRRK2,53,60,0,[],No
P31152,MAPK4,2,45,0,[],No
Q15759,MAPK11,4,92,0,[],No
Q16584,MAP3K11,13,20,0,[],No
P35626,GRK3,0,41,0,[],No
P42680,TEC,1,21,0,[],No
Q5VT25,CDC42BPA,6,14,0,[],No
P46734,MAP2K3,6,16,0,[],No
Q13237,PRKG2,7,38,0,[],No
P53779,MAPK10,6,224,0,[],No
Q07912,TNK2,7,18,0,[],No
Q13043,STK4,17,69,0,[],No
O75116,ROCK2,9,54,0,[],No
Q8TD19,NEK9,11,17,0,[],No
Q96RG2,PASK,12,3,0,[],No
Q9P286,PAK5,5,13,0,[],No
Q9UBE8,NLK,0,73,0,[],No
Q9H4A3,WNK1,16,27,0,[],No
O60285,NUAK1,7,22,0,[],No
P42684,ABL2,13,27,0,[],No
P05129,PRKCG,3,203,0,[],No
P41743,PRKCI,5,66,0,[],No
Q9BZL6,PRKD2,12,21,0,[],No
Q9UIK4,DAPK2,2,6,0,[],No
Q9UPZ9,CILK1,3,4,0,[],No
Q15208,STK38,10,29,0,[],No
Q9Y2H1,STK38L,2,13,0,[],No
Q9Y6E0,STK24,4,10,0,[],No
P51813,BMX,5,33,0,[],No
Q8N5S9,CAMKK1,13,26,0,[],No
P29317,EPHA2,16,3,0,[],No
Q13233,MAP3K1,8,33,0,[],No
Q12851,MAP4K2,2,9,0,[],No
P36888,FLT3,10,22,0,[],No
P31749,AKT1,21,578,0,[],No
P78362,SRPK2,6,53,0,[],No
O96013,PAK4,19,66,0,[],No
Q86UE8,TLK2,7,3,0,[],No
O00141,SGK1,11,125,0,[],No
P49336,CDK8,0,79,0,[],No
Q9NYY3,PLK2,0,23,0,[],No
O00444,PLK4,4,35,0,[],No
Q86Y07,VRK2,0,37,0,[],No
Q16644,MAPKAPK3,1,11,0,[],No
Q9H0K1,SIK2,8,10,0,[],No
P54646,PRKAA2,6,168,0,[],No
Q7KZI7,MARK2,20,41,0,[],No
Q96BR1,SGK3,4,41,0,[],No
Q13555,CAMK2G,7,69,0,[],No
Q9H093,NUAK2,3,4,0,[],No
Q13188,STK3,16,43,0,[],No
O94921,CDK14,4,12,0,[],No
O00311,CDC7,8,46,0,[],No
Q15746,MYLK,27,10,0,[],No
Q32MK0,MYLK3,0,7,0,[],No
Q8NG66,NEK11,1,4,0,[],No
Q14680,MELK,22,21,0,[],No
Q96J92,WNK4,8,15,0,[],No
Q8NE63,HIPK4,1,9,0,[],No
P51817,PRKX,0,209,0,[],No
Q09013,DMPK,0,6,0,[],No
P49760,CLK2,4,46,0,[],No
Q13557,CAMK2D,7,60,0,[],No
Q13554,CAMK2B,2,61,0,[],No
Q9UQB9,AURKC,0,10,0,[],No
Q5TCY1,TTBK1,1,49,0,[],No
Q9P0L2,MARK1,9,57,0,[],No
P21675,TAF1,0,10,0,[],No
O75676,RPS6KA4,12,51,0,[],No
Q9NRM7,LATS2,10,22,0,[],No
O95835,LATS1,16,23,0,[],No
Q96RR4,CAMKK2,10,15,0,[],No
Q99640,PKMYT1,7,4,0,[],No
Q08345,DDR1,5,5,0,[],No
Q8IZL9,CDK20,0,63,0,[],No
Q8IU85,CAMK1D,2,6,0,[],No
Q9NYL2,MAP3K20,10,5,0,[],No
O75716,STK16,3,17,0,[],No
Q7L7X3,TAOK1,9,12,0,[],No
P36507,MAP2K2,9,25,0,[],No
Q8N4C8,MINK1,10,6,0,[],No
P36896,ACVR1B,1,6,0,[],No
P16591,FER,4,35,0,[],No
P42685,FRK,3,7,0,[],No
Q13131,PRKAA1,19,240,0,[],No
Q9NYV4,CDK12,26,84,0,[],No
P15735,PHKG2,0,32,0,[],No
Q16816,PHKG1,2,28,0,[],No
Q9HCP0,CSNK1G1,0,43,0,[],No
Q9Y4A5,TRRAP,3,0,0,[],No
P00540,MOS,1,5,0,[],No
Q9UL54,TAOK2,2,11,0,[],No
Q96GX5,MASTL,11,3,0,[],No
Q9BXA7,TSSK1B,1,0,0,[],No
P19784,CSNK2A2,0,401,0,[],No
Q16512,PKN1,21,57,0,[],No
O43683,BUB1,27,70,0,[],No
Q9Y243,AKT3,6,65,0,[],No
Q9P2K8,EIF2AK4,2,6,0,[],No
Q13163,MAP2K5,7,4,0,[],No
O14578,CIT,6,3,0,[],No
P15056,BRAF,23,41,0,[],No
Q9H2K8,TAOK3,6,4,0,[],No
Q12852,MAP3K12,0,6,0,[],No
O43353,RIPK2,10,14,0,[],No
Q9UEW8,STK39,6,25,0,[],No
Q9BXM7,PINK1,7,29,0,[],No
P22694,PRKACB,3,131,0,[],No
P54762,EPHB1,2,7,0,[],No
O00418,EEF2K,19,7,0,[],No
Q8N752,CSNK1A1L,0,39,0,[],No
P22612,PRKACG,0,53,0,[],No
O94806,PRKD3,5,12,0,[],No
Q8TDX7,NEK7,4,8,0,[],No
O95747,OXSR1,4,20,0,[],No
Q16620,NTRK2,11,26,0,[],No
O95382,MAP3K6,1,5,0,[],No
Q13546,RIPK1,18,5,0,[],No
O76039,CDKL5,6,21,0,[],No
Q9Y572,RIPK3,5,11,0,[],No
Q9Y2K2,SIK3,12,3,0,[],No
O60885,BRD4,10,5,0,[],No
Q6PHR2,ULK3,4,7,0,[],No
Q9UQ88,CDK11A,5,6,0,[],No
Q86SG6,NEK8,1,0,0,[],No
Q8IVH8,MAP4K3,1,9,0,[],No
Q9NQU5,PAK6,5,22,0,[],No
Q6P5Z2,PKN3,2,6,0,[],No
Q96KB5,PBK,4,20,0,[],No
Q8WZ42,TTN,19,1,0,[],No
Q8TD08,MAPK15,10,50,0,[],No
Q9HAZ1,CLK4,3,5,0,[],No
Q8IWQ3,BRSK2,16,9,0,[],No
Q9UKE5,TNIK,9,6,0,[],No
Q5TCX8,MAP3K21,2,4,0,[],No
Q9Y6R4,MAP3K4,2,6,0,[],No
P78368,CSNK1G2,1,43,0,[],No
Q96Q15,SMG1,3,11,0,[],No
Q86V86,PIM3,0,11,0,[],No
Q96SB4,SRPK1,11,30,0,[],No
Q15131,CDK10,1,63,0,[],No
Q6P2M8,PNCK,0,14,0,[],No
Q99759,MAP3K3,10,19,0,[],No
Q9Y3S1,WNK2,4,3,0,[],No
Q86Z02,HIPK1,2,11,0,[],No
Q9HBY8,SGK2,2,36,0,[],No
Q9Y5S2,CDC42BPB,2,3,0,[],No
Q07002,CDK18,9,65,0,[],No
Q8IYT8,ULK2,2,10,0,[],No
P27448,MARK3,21,21,0,[],No
P30530,AXL,7,18,0,[],No
Q9H1R3,MYLK2,0,4,0,[],No
Q9BYP7,WNK3,5,7,0,[],No
P20794,MAK,2,3,0,[],No
Q6J9G0,STYK1,0,12,0,[],No
Q9P1W9,PIM2,0,40,0,[],No
Q8NEV4,MYO3A,6,7,0,[],No
P49842,STK19,0,1,0,[],No
Q02779,MAP3K10,0,12,0,[],No
O00506,STK25,2,7,0,[],No
O14874,BCKDK,4,5,0,[],No
O14730,RIOK3,0,1,0,[],No
O75385,ULK1,16,76,0,[],No
Q96PN8,TSSK3,2,0,0,[],No
Q9UEE5,STK17A,2,60,0,[],No
Q8IWU2,LMTK2,1,5,0,[],No
Q96NX5,CAMK1G,0,5,0,[],No
Q9Y4K4,MAP4K5,3,4,0,[],No
Q3MIX3,ADCK5,0,1,0,[],No
P36894,BMPR1A,0,17,0,[],No
Q13705,ACVR2B,0,2,0,[],No
P10398,ARAF,9,24,0,[],No
P21802,FGFR2,4,22,0,[],No
Q96S44,TP53RK,1,2,0,[],No
Q6IQ55,TTBK2,0,34,0,[],No
P51956,NEK3,3,32,0,[],No
P11274,BCR,20,27,0,[],No
Q9BX84,TRPM6,2,5,0,[],No
Q96PY6,NEK1,5,11,0,[],No
P80192,MAP3K9,2,0,0,[],No
P42679,MATK,1,6,0,[],No
Q8N165,PDIK1L,0,5,0,[],No
Q00536,CDK16,18,68,0,[],No
Q7Z2Y5,NRK,1,3,0,[],No
Q04771,ACVR1,0,14,0,[],No
C0HM02,PRKCH,0,22,4,"['PRKCH(S28)', 'PRKCH(S32)', 'PRKCH(S675)', 'PRKCH(T656)']",Yes
Q00537,CDK17,8,62,0,[],No
Q96L34,MARK4,4,6,0,[],No
P21709,EPHA1,2,5,0,[],No
P35590,TIE1,1,3,0,[],No
Q9NR20,DYRK4,1,35,0,[],No
P57058,HUNK,0,1,0,[],No
Q15303,ERBB4,10,8,0,[],No
Q9UK32,RPS6KA6,5,22,0,[],No
P29376,LTK,0,1,0,[],No
Q9NSY1,BMP2K,3,4,0,[],No
Q9H2G2,SLK,5,6,0,[],No
O14976,GAK,2,5,0,[],No
Q9BYT3,STK33,3,4,0,[],No
Q38SD2,LRRK1,3,14,0,[],No
Q8WTQ7,GRK7,2,30,0,[],No
Q16513,PKN2,9,4,0,[],No
O43283,MAP3K13,0,16,0,[],No
P37023,ACVRL1,0,4,0,[],No
Q96QP1,ALPK1,0,1,0,[],No
O14936,CASK,4,6,0,[],No
Q6P3R8,NEK5,0,1,0,[],No
Q92772,CDKL2,0,3,0,[],No
Q06418,TYRO3,0,10,0,[],No
O60307,MAST3,3,1,0,[],No
Q9Y2U5,MAP3K2,9,8,0,[],No
P49761,CLK3,4,16,0,[],No
O95819,MAP4K4,9,24,0,[],No
O75460,ERN1,3,10,0,[],No
Q9H3Y6,SRMS,1,6,0,[],No
Q96Q40,CDK15,0,1,0,[],No
Q8IV63,VRK3,4,29,0,[],No
Q14004,CDK13,23,64,0,[],No
Q9Y6M4,CSNK1G3,1,32,0,[],No
Q6P3W7,SCYL2,0,17,0,[],No
Q59H18,TNNI3K,0,27,0,[],No
O15075,DCLK1,10,6,0,[],No
Q9NSY0,NRBP2,0,4,0,[],No
Q16832,DDR2,5,11,0,[],No
Q8IZE3,SCYL3,1,1,0,[],No
Q14296,FASTK,0,3,0,[],No
Q6P0Q8,MAST2,15,7,0,[],No
P51957,NEK4,3,12,0,[],No
Q8IVW4,CDKL3,0,3,0,[],No
O43930,PRKY,0,212,0,[],No
P20594,NPR2,3,1,0,[],No
Q96KG9,SCYL1,1,3,0,[],No
Q96RU7,TRIB3,0,15,0,[],No
Q16288,NTRK3,2,4,0,[],No
Q13873,BMPR2,1,3,0,[],No
Q9Y2H9,MAST1,1,1,0,[],No
Q92519,TRIB2,1,1,0,[],No
Q9UHY1,NRBP1,2,1,0,[],No
Q8N2I9,STK40,0,9,0,[],No
Q9NRP7,STK36,0,1,0,[],No
Q7Z7A4,PXK,0,7,0,[],No
Q8TF76,HASPIN,6,4,0,[],No
Q9BRS2,RIOK1,3,2,0,[],No
Q6VAB6,KSR2,3,2,0,[],No
Q99570,PIK3R4,0,3,0,[],No
Q9NRH2,SNRK,3,4,0,[],No
Q15109,AGER,1,2,0,[],No
Q9UQ07,MOK,2,1,0,[],No
Q56UN5,MAP3K19,0,4,0,[],No
Q9Y616,IRAK3,0,7,0,[],No
O94768,STK17B,6,3,0,[],No
Q6SA08,TSSK4,1,1,0,[],No
Q6DT37,CDC42BPG,5,1,0,[],No
P54760,EPHB4,2,3,0,[],No
P08922,ROS1,4,22,0,[],No
P21860,ERBB3,10,7,0,[],No
P25092,GUCY2C,1,2,0,[],No
Q13308,PTK7,0,1,0,[],No
Q6ZN16,MAP3K15,0,1,0,[],No
Q13263,TRIM28,38,3,0,[],No
Q96Q04,LMTK3,0,3,0,[],No
Q9H792,PEAK1,8,1,0,[],No
P57078,RIPK4,1,4,0,[],No
Q7RTN6,STRADA,6,1,0,[],No
Q01973,ROR1,2,1,0,[],No
O60566,BUB1B,11,0,0,[],No
Q9UJY1,HSPB8,6,0,0,[],No
Q01974,ROR2,2,0,0,[],No
Q8NB16,MLKL,4,0,0,[],No
O60229,KALRN,1,0,0,[],No
Q9BVS4,RIOK2,7,0,0,[],No
O75962,TRIO,5,0,0,[],No
O15164,TRIM24,12,0,0,[],No
Q13470,TNK1,3,0,0,[],No
P16066,NPR1,4,0,0,[],No
Q8IWB6,TEX14,4,0,0,[],No
Q9UPN9,TRIM33,10,0,0,[],No
Q8NCB2,CAMKV,2,0,0,[],No
P25440,BRD2,3,0,0,[],No
Q15059,BRD3,4,0,0,[],No
Q6ZMQ8,AATK,2,0,0,[],No
P34925,RYK,1,0,0,[],No
O43187,IRAK2,0,0,0,[],No
Q16671,AMHR2,0,0,0,[],No
P54756,EPHA5,0,0,0,[],No
Q9UF33,EPHA6,0,0,0,[],No
Q15375,EPHA7,0,0,0,[],No
O15197,EPHB6,0,0,0,[],No
P27037,ACVR2A,0,0,0,[],No
Q5VST9,OBSCN,1,0,0,[],No
Q58F21,BRDT,0,0,0,[],No
Q8NER5,ACVR1C,0,0,0,[],No
Q02846,GUCY2D,0,0,0,[],No
O15146,MUSK,0,0,0,[],No
Q8IZX4,TAF1L,0,0,0,[],No
Q9C0K7,STRADB,0,0,0,[],No
Q8NI60,COQ8A,0,0,0,[],No
Q96PF2,TSSK2,0,0,0,[],No
Q8TDR2,STK35,0,0,0,[],No
Q96RU8,TRIB1,0,0,0,[],No
P11801,PSKH1,0,0,0,[],No
Q05823,RNASEL,0,0,0,[],No
P51841,GUCY2F,0,0,0,[],No
Q96S38,RPS6KC1,6,0,0,[],No
Q9UPE1,SRPK3,0,0,0,[],No
Q00532,CDKL1,0,0,0,[],No
Q86TW2,ADCK1,0,0,0,[],No
P14616,INSRR,1,0,0,[],No
Q96C45,ULK4,0,0,0,[],No
Q96D53,COQ8B,0,0,0,[],No
Q8NFD2,ANKK1,0,0,0,[],No
Q8N568,DCLK2,0,0,0,[],No
Q9C098,DCLK3,0,0,0,[],No
Q8WXR4,MYO3B,0,0,0,[],No
Q6XUX3,DSTYK,0,0,0,[],No
Q52WX2,SBK1,0,0,0,[],No
Q8WU08,STK32A,0,0,0,[],No
Q9NY57,STK32B,0,0,0,[],No
Q86UX6,STK32C,1,0,0,[],No
Q6ZWH5,NEK10,0,0,0,[],No
Q5JZY3,EPHA10,0,0,0,[],No
Q76MJ5,ERN2,0,0,0,[],No
Q7Z695,ADCK2,0,0,0,[],No
Q86TB3,ALPK2,0,0,0,[],No
Q96L96,ALPK3,3,0,0,[],No
Q96QS6,PSKH2,0,0,0,[],No
Q9BXA6,TSSK6,0,0,0,[],No
Q9BXU1,STK31,0,0,0,[],No
Q9Y6S9,RPS6KL1,0,0,0,[],No
Q5MAI5,CDKL4,0,0,0,[],No
Q8NE28,STKLD1,0,0,0,[],No
